This histogram has 57 bins.
bin	t_low	t_upp	sigma
1	0.0400	0.0437	0.0195
2	0.0437	0.0462	0.0195
3	0.0462	0.0488	0.0193
4	0.0488	0.0513	0.0190
5	0.0513	0.0537	0.0187
6	0.0537	0.0563	0.0182
7	0.0563	0.0587	0.0177
8	0.0587	0.0612	0.0172
9	0.0612	0.0638	0.0166
10	0.0638	0.0663	0.0161
11	0.0663	0.0688	0.0155
12	0.0688	0.0713	0.0150
13	0.0713	0.0737	0.0144
14	0.0737	0.0762	0.0140
15	0.0762	0.0788	0.0135
16	0.0788	0.0813	0.0131
17	0.0813	0.0838	0.0127
18	0.0838	0.0862	0.0123
19	0.0862	0.0887	0.0120
20	0.0887	0.0912	0.0117
21	0.0912	0.0938	0.0113
22	0.0938	0.0963	0.0110
23	0.0963	0.0988	0.0108
24	0.0988	0.1025	0.0105
25	0.1025	0.1075	0.0100
26	0.1075	0.1125	0.0095
27	0.1125	0.1175	0.0091
28	0.1175	0.1225	0.0087
29	0.1225	0.1275	0.0083
30	0.1275	0.1325	0.0080
31	0.1325	0.1375	0.0077
32	0.1375	0.1425	0.0074
33	0.1425	0.1475	0.0071
34	0.1475	0.1525	0.0068
35	0.1525	0.1575	0.0065
36	0.1575	0.1650	0.0062
37	0.1650	0.1750	0.0056
38	0.1750	0.1850	0.0050
39	0.1850	0.1950	0.0045
40	0.1950	0.2050	0.0040
41	0.2050	0.2150	0.0035
42	0.2150	0.2250	0.0032
43	0.2250	0.2350	0.0029
44	0.2350	0.2450	0.0026
45	0.2450	0.2550	0.0024
46	0.2550	0.2650	0.0022
47	0.2650	0.2750	0.0020
48	0.2750	0.2850	0.0019
49	0.2850	0.2950	0.0017
50	0.2950	0.3500	0.0015
51	0.3500	0.4500	0.0006
52	0.4500	0.5500	0.0002
53	0.5500	0.6500	0.0001
54	0.6500	0.7500	0.0000
55	0.7500	0.8500	0.0000
56	0.8500	0.9500	0.0000
57	0.9500	1.0000	0.0000
